Held Item,Description
Big Root,HP-stealing moves restore double HP
Bright Powder,Speed Evasion +2
Choice Items,"Choice Items are tied to a specific Stat. While held, the default state of the Stat is +2 Combat Stages. However, the user is Suppressed and cannot be cured until the end of Combat, even if the item is removed."
Choice Band,"The default state of the holder's Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed."
Choice Specs,"The default state of the holder's Special Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed."
Choice Scarf,"The default state of the holder's Speed Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed."
Choice Item (Def),"The default state of the holder's Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed."
Choice Item (SDef),"The default state of the holder's Special Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed."
Contest Accessory,The user rolls +2d6 during the Introduction Stage of a Contest.
Contest Fashion,"These Items have a chosen Contest Stat; Beauty, Cool, Cute, Smart, or Tough. When held, once per Contest, the holder may re-roll any 1's made when using a Move of the chosen Contest Stat."
Beauty Fashion,Once per Contest the holder may re-roll any 1's made when using a Beauty Move.
Cute Fashion,Once per Contest the holder may re-roll any 1's made when using a Cute Move.
Cool Fashion,Once per Contest the holder may re-roll any 1's made when using a Cool Move.
Smart Fashion,Once per Contest the holder may re-roll any 1's made when using a Smart Move.
Tough Fashion,Once per Contest the holder may re-roll any 1's made when using a Tough Move.
Everstone,Evolution is prevented for the holder.
Eviolite,"Only affects not-fully-evolved Pokémon of a single family, decided when the Eviolite is made. Grants a +5 Bonus to two different Stats, after Combat Stages, decided when the Eviolite is made. Prevents Pokémon from evolving when held."
Expert Belt,"Whenever the holder deals Super Effective Damage, they deal an additional 5 damage (this damage is not multiplied)."
Flame Orb,Induces Burn on holder. Standard Action to drop.
Focus Band,"Whenever the holder would faint, roll 1d20. Once per Scene on a result of 16+, the holder does not faint and is left with 1 HP instead."
Focus Sash,"Once per Scene, if damage from a Move would take the holder’s Hit Points from Max to 0 or less, the holder is set to 1 HP instead."
Full Incense,The holder gains the Stall ability.
Go-Goggles,The holder does not take damage from Sandstorm.
