Keyword,Description
Aura,"Moves with this Keyword manipulate Aura and
may be affected by certain Abilities or effects."
Berry,Natural Gift has a different Damage Base and Elemental Type based on the Berry the user has stored a Digestion Buff from. Consult the Chart on Core pg. 339.
Blessing,"Safeguard, Lucky Chant, Reflect, and Light Screen provide a Blessing shared by the entire team. All Pokemon and Trainers allied to the user may benefit from the Blessing. The Blessing persists until it’s used up, even if the original user is KO’d or switched out."
Coat,Moves with the Coat keyword give the targets a certain effect while the Coat persists. Coats may be passed on by Baton Pass.
Dash,A Dash Move cannot be used if the user is Stuck.
Double Strike,"Whenever a Move with Double Strike is used, make two Attack Rolls. If one Attack Roll hits, the Move does damage as indicated by its Damage Base value; if both Attack Rolls hit however, the Damage Base value is doubled. Each hit may Critically Hit separately; when adding damage from Critical Hit, add the Damage Base before it’s doubled. For example, if one Double Kick attack is a Critical Hit, add +1d8+5 to the damage roll. If both are Critical Hits, add +2d8+10."
Environ,A Pokemon using a Move with the Environ keyword consults the chart on Core pg.339 for what Move or effect to use.
Execute,These Moves automatically KO the target if they hit. The 1d100 roll may not be modified in any way or re-rolled through any means.
Exhaust,"If a Move has the Exhaust keyword, the user forfeits their Standard and Shift actions on their next turn, and forfeits their trainer’s Command. If any of these actions has already been used up, the move Fails and does not activate."
Fling,"The Move Fling is very unique! Its effect depends on the held item of the user. If used a Trainer, they must throw an item in either hand. Chart on Core pg. 340"
Friendly,Moves with the Friendly Keyword do not hit allies.
Five Strike,"Whenever a Move with Five Strike is used, roll 1d8. On a result of 1, the attack hits one time. On a result of 2 or 3, the attack hits two times. On a result of 4, 5, or 6, the attack hits three times. On a result of 7, the attack hits four times. On a roll of 8, the attack hits five times. Multiply the Move’s Damage Base by the number of times hit; that becomes its new Damage Base. You may always apply Technician to Moves with Five Strike. Apply STAB and all other effects that raise Damage Base only after the Move’s final Damage Base has been calculated."
Groundsource,Moves with the Groundsource keyword do not have their Accuracy modified by targeting into Rough Terrain and ignore Blocking Terrain.
Hazard,"If a Move has the Hazard keyword, the effect covers a portion of the field of battle. A Hazard only affects the foes under certain circumstances. You may put extra Layers of the Move with Hazard if the Move allows, but only one per usage of the Move."
Illusion,"These Moves are Illusions, and may be ignored by Trainers with the Clairsentient Feature."
Interrupt,"Interrupt Moves may be declared in the middle of another combatant’s turn to allow the user to take an action. They work similarly to Priority (Advanced, Limited) effects in that they only allow you to take the action that has Interrupt and not a full turn."
Pass,"At any point during a Shift, the user may declare a move with the Pass keyword. Once the Move is declared, the user may move forward only in a straight line, for up to 4 meters, treating foes as Regular Terrain and moving through any enemies in its path. The user must end in  an empty square. The Pass Move attacks all targets in each square it dashes through, but each target may be hit only once. The user must end their Shift at the end of the dash. Shifting as a result of the Pass keyword does not provoke Attacks of Opportunity."
Pledge,"Pledge Moves can generate a number of special effects. A Rainbow lasts for 5 rounds and increases the Effect Range of all allies’ attacks by +3. A Fire Hazard is a special type of Hazard. Any targets that begin or end their turn on a Fire Hazard are Burned. Anyone that passes through a Fire Hazard takes damage equal to 1/8th of their Max Hit Points. If a Ground, Rock, or Water-Type Move targets a square (or a target in a square) with Fire Hazard in them, the Fire Hazards are destroyed. All effects that destroy Hazards extinguish Fire Hazards."
Powder,Moves with the Powder keyword have no effect on Grass Type Pokemon.
