Type,Vulnerable,Resistant,Immune
Normal,Fighting,,Ghost
Fire,"Water, Ground, Rock","Fire, Grass, Ice, Bug, Steel, Fairy",
Water,"Electric, Grass","Fire, Water, Ice, Steel",
Electric,Ground,"Electric, Flying, Steel",
Grass,"Fire, Ice, Poison, Flying, Bug","Water, Electric, Grass, Ground",
Ice,"Fire, Fighting, Rock, Steel",Ice,
Fighting,"Flying, Psychic, Fairy","Bug, Rock, Dark",
Poison,"Ground, Psychic","Grass, Fighting, Poison, Bug, Fairy",
Ground,"Water, Grass, Ice","Poison, Rock",Electric
Flying,"Electric, Rock, Ice","Grass, Fighting, Bug",Ground
Psychic,"Bug, Ghost, Dark","Fighting, Psychic",
Bug,"Fire, Flying, Rock","Grass, Fighting, Ground",
Rock,"Water, Grass, Fighting, Ground, Steel","Normal, Fire, Poison, Flying",
Ghost,"Ghost, Dark","Poison, Bug","Normal, Fighting"
Dragon,"Ice, Dragon, Fairy","Fire, Water, Electric, Grass",
Dark,"Fighting, Bug, Fairy","Ghost, Dark",Psychic
Steel,"Fire, Fighting, Ground","Normal, Grass, Ice, Flying, Phsychic, Bug, Rock, Dragon, Steel, Fairy",
Fairy,"Poison, Steel","Fighting, Bug, Dark",Dragon
